key,value,date
CONDO,544,1/1/13
CONDO,172,1/1/12
CONDO,209,1/1/11
CONDO,256,1/1/10
CONDO,417,1/1/09
CONDO,358,1/1/08
CONDO,326,1/1/07
CONDO,1989,1/1/06
CONDO,304,1/1/05
CONDO,968,1/1/04
CONDO,503,1/1/03
CONDO,746,1/1/02
CONDO,341,1/1/01
CONDO,951,1/1/00
CONDO,348,1/1/99
CONDO,70,1/1/98
CONDO,36,1/1/97
CONDO,22,1/1/96
CONDO,30,1/1/95
CONDO,21,1/1/94
CONDO,37,1/1/93
OTHER,23,1/1/13
OTHER,28,1/1/12
OTHER,40,1/1/11
OTHER,37,1/1/10
OTHER,38,1/1/09
OTHER,43,1/1/08
OTHER,68,1/1/07
OTHER,139,1/1/06
OTHER,73,1/1/05
OTHER,101,1/1/04
OTHER,69,1/1/03
OTHER,68,1/1/02
OTHER,62,1/1/01
OTHER,74,1/1/00
OTHER,62,1/1/99
OTHER,13,1/1/98
OTHER,0,1/1/97
OTHER,6,1/1/96
OTHER,3,1/1/95
OTHER,1,1/1/94
OTHER,1,1/1/93
SINGLE FAM,37,1/1/13
SINGLE FAM,48,1/1/12
SINGLE FAM,88,1/1/11
SINGLE FAM,46,1/1/10
SINGLE FAM,50,1/1/09
SINGLE FAM,51,1/1/08
SINGLE FAM,74,1/1/07
SINGLE FAM,86,1/1/06
SINGLE FAM,128,1/1/05
SINGLE FAM,143,1/1/04
SINGLE FAM,98,1/1/03
SINGLE FAM,66,1/1/02
SINGLE FAM,131,1/1/01
SINGLE FAM,135,1/1/00
SINGLE FAM,79,1/1/99
SINGLE FAM,95,1/1/98
SINGLE FAM,61,1/1/97
SINGLE FAM,67,1/1/96
SINGLE FAM,64,1/1/95
SINGLE FAM,64,1/1/94
SINGLE FAM,50,1/1/93
MULTI-FAM,24,1/1/13
MULTI-FAM,16,1/1/12
MULTI-FAM,2,1/1/11
MULTI-FAM,5,1/1/10
MULTI-FAM,17,1/1/09
MULTI-FAM,21,1/1/08
MULTI-FAM,42,1/1/07
MULTI-FAM,45,1/1/06
MULTI-FAM,31,1/1/05
MULTI-FAM,58,1/1/04
MULTI-FAM,53,1/1/03
MULTI-FAM,37,1/1/02
MULTI-FAM,38,1/1/01
MULTI-FAM,38,1/1/00
MULTI-FAM,13,1/1/99
MULTI-FAM,9,1/1/98
MULTI-FAM,4,1/1/97
MULTI-FAM,5,1/1/96
MULTI-FAM,2,1/1/95
MULTI-FAM,2,1/1/94
MULTI-FAM,9,1/1/93
CONGREGATE ,1,1/1/13
CONGREGATE ,0,1/1/12
CONGREGATE ,7,1/1/11
CONGREGATE ,2,1/1/10
CONGREGATE ,2,1/1/09
CONGREGATE ,0,1/1/08
CONGREGATE ,0,1/1/07
CONGREGATE ,0,1/1/06
CONGREGATE ,1,1/1/05
CONGREGATE ,36,1/1/04
CONGREGATE ,25,1/1/03
CONGREGATE ,30,1/1/02
CONGREGATE ,0,1/1/01
CONGREGATE ,25,1/1/00
CONGREGATE ,4,1/1/99
CONGREGATE ,6,1/1/98
CONGREGATE ,2,1/1/97
CONGREGATE ,1,1/1/96
CONGREGATE ,5,1/1/95
CONGREGATE ,2,1/1/94
CONGREGATE ,1,1/1/93